,hidden_nodes,learning_rate,epochs,performance,training_time
0,10.0,0.01,1.0,0.814,12.77
1,10.0,0.01,10.0,0.9056,123.15
2,10.0,0.01,15.0,0.9045,226.21
3,10.0,0.01,2.0,0.878,24.63
4,10.0,0.01,20.0,0.9069,474.0
5,10.0,0.01,3.0,0.8807,37.23
6,10.0,0.01,4.0,0.9064,49.82
7,10.0,0.01,5.0,0.8925,61.56
8,10.0,0.01,6.0,0.8898,74.57
9,10.0,0.01,7.0,0.898,85.5
10,10.0,0.01,8.0,0.8941,96.05
11,10.0,0.01,9.0,0.898,109.46
12,10.0,0.1,1.0,0.8629,24.44
13,10.0,0.1,10.0,0.9075,130.2
14,10.0,0.1,15.0,0.9044,196.57
15,10.0,0.1,2.0,0.8642,49.09
16,10.0,0.1,20.0,0.8837,261.13
17,10.0,0.1,3.0,0.889,73.81
18,10.0,0.1,4.0,0.8961,98.45
19,10.0,0.1,5.0,0.8863,136.2
20,10.0,0.1,6.0,0.9009,86.99
21,10.0,0.1,7.0,0.8866,90.86
22,10.0,0.1,8.0,0.8982,104.22
23,10.0,0.1,9.0,0.8742,116.98
24,10.0,0.2,1.0,0.8678,12.98
25,10.0,0.2,10.0,0.8924,243.38
26,10.0,0.2,15.0,0.8934,387.45
27,10.0,0.2,2.0,0.8714,25.85
28,10.0,0.2,20.0,0.8814,517.19
29,10.0,0.2,3.0,0.8727,39.49
30,10.0,0.2,4.0,0.8889,52.36
31,10.0,0.2,5.0,0.8878,81.28
32,10.0,0.2,6.0,0.8984,151.31
33,10.0,0.2,7.0,0.8965,177.0
34,10.0,0.2,8.0,0.875,200.88
35,10.0,0.2,9.0,0.8817,153.8
36,10.0,0.3,1.0,0.839,27.73
37,10.0,0.3,10.0,0.8869,131.84
38,10.0,0.3,15.0,0.8885,196.26
39,10.0,0.3,2.0,0.8647,54.84
40,10.0,0.3,20.0,0.8916,451.93
41,10.0,0.3,3.0,0.8814,83.27
42,10.0,0.3,4.0,0.8777,73.57
43,10.0,0.3,5.0,0.8732,65.83
44,10.0,0.3,6.0,0.8791,79.24
45,10.0,0.3,7.0,0.9057,93.27
46,10.0,0.3,8.0,0.8711,106.31
47,10.0,0.3,9.0,0.8834,235.52
48,10.0,0.4,1.0,0.8455,12.8
49,10.0,0.4,10.0,0.8855,125.85
50,10.0,0.4,15.0,0.9064,202.68
51,10.0,0.4,2.0,0.8665,24.83
52,10.0,0.4,20.0,0.8867,488.58
53,10.0,0.4,3.0,0.8524,38.62
54,10.0,0.4,4.0,0.8471,50.63
55,10.0,0.4,5.0,0.8592,62.24
56,10.0,0.4,6.0,0.8841,73.91
57,10.0,0.4,7.0,0.8766,87.59
58,10.0,0.4,8.0,0.8773,98.29
59,10.0,0.4,9.0,0.8881,112.88
60,10.0,0.5,1.0,0.8508,24.23
61,10.0,0.5,10.0,0.8779,182.62
62,10.0,0.5,15.0,0.8746,198.61
63,10.0,0.5,2.0,0.8512,48.65
64,10.0,0.5,20.0,0.9021,264.8
65,10.0,0.5,3.0,0.8744,73.32
66,10.0,0.5,4.0,0.8563,97.22
67,10.0,0.5,5.0,0.884,122.34
68,10.0,0.5,6.0,0.8765,147.72
69,10.0,0.5,7.0,0.8315,171.39
70,10.0,0.5,8.0,0.8654,196.77
71,10.0,0.5,9.0,0.8861,223.16
72,10.0,0.6,1.0,0.8581,13.15
73,10.0,0.6,10.0,0.8849,265.74
74,10.0,0.6,15.0,0.8815,409.38
75,10.0,0.6,2.0,0.8648,26.52
76,10.0,0.6,20.0,0.8864,561.1
77,10.0,0.6,3.0,0.8836,40.93
78,10.0,0.6,4.0,0.8553,52.72
79,10.0,0.6,5.0,0.8711,66.01
80,10.0,0.6,6.0,0.868,78.3
81,10.0,0.6,7.0,0.8813,92.26
82,10.0,0.6,8.0,0.8759,155.09
83,10.0,0.6,9.0,0.8724,241.25
84,10.0,0.7,1.0,0.8425,26.71
85,10.0,0.7,10.0,0.8419,131.5
86,10.0,0.7,15.0,0.8908,197.63
87,10.0,0.7,2.0,0.8555,53.97
88,10.0,0.7,20.0,0.8803,491.75
89,10.0,0.7,3.0,0.8613,81.01
90,10.0,0.7,4.0,0.8727,108.31
91,10.0,0.7,5.0,0.8497,125.69
92,10.0,0.7,6.0,0.8494,79.96
93,10.0,0.7,7.0,0.8523,194.41
94,10.0,0.7,8.0,0.884,219.54
95,10.0,0.7,9.0,0.8595,119.03
96,10.0,0.8,1.0,0.8252,12.14
97,10.0,0.8,10.0,0.8647,126.83
98,10.0,0.8,15.0,0.8521,191.07
99,10.0,0.8,2.0,0.8186,24.5
100,10.0,0.8,20.0,0.8756,466.92
101,10.0,0.8,3.0,0.8689,37.29
102,10.0,0.8,4.0,0.8683,49.89
103,10.0,0.8,5.0,0.8545,60.13
104,10.0,0.8,6.0,0.8674,73.39
105,10.0,0.8,7.0,0.8721,86.71
106,10.0,0.8,8.0,0.8848,96.53
107,10.0,0.8,9.0,0.864,111.4
108,10.0,0.9,1.0,0.8268,23.81
109,10.0,0.9,10.0,0.829,242.13
110,10.0,0.9,15.0,0.87,361.09
111,10.0,0.9,2.0,0.8393,47.67
112,10.0,0.9,20.0,0.8786,478.91
113,10.0,0.9,3.0,0.8532,72.1
114,10.0,0.9,4.0,0.8549,95.35
115,10.0,0.9,5.0,0.8531,120.38
116,10.0,0.9,6.0,0.8413,144.71
117,10.0,0.9,7.0,0.8524,168.6
118,10.0,0.9,8.0,0.8762,191.39
119,10.0,0.9,9.0,0.8638,215.93
120,100.0,0.01,1.0,0.9227,31.51
121,100.0,0.01,10.0,0.967,333.58
122,100.0,0.01,15.0,0.9696,512.04
123,100.0,0.01,2.0,0.9383,62.93
124,100.0,0.01,20.0,0.9727,688.39
125,100.0,0.01,3.0,0.9472,96.83
126,100.0,0.01,4.0,0.9526,129.76
127,100.0,0.01,5.0,0.9571,166.97
128,100.0,0.01,6.0,0.9589,271.21
129,100.0,0.01,7.0,0.961,471.55
130,100.0,0.01,8.0,0.9643,430.11
131,100.0,0.01,9.0,0.9638,515.88
132,100.0,0.1,1.0,0.9476,33.28
133,100.0,0.1,10.0,0.9657,323.66
134,100.0,0.1,15.0,0.9667,523.73
135,100.0,0.1,2.0,0.9598,68.72
136,100.0,0.1,20.0,0.9648,680.24
137,100.0,0.1,3.0,0.9621,101.37
138,100.0,0.1,4.0,0.9659,133.29
139,100.0,0.1,5.0,0.9686,163.13
140,100.0,0.1,6.0,0.9636,208.2
141,100.0,0.1,7.0,0.9699,241.96
142,100.0,0.1,8.0,0.9667,264.48
143,100.0,0.1,9.0,0.9694,292.78
144,100.0,0.2,1.0,0.9499,72.47
145,100.0,0.2,10.0,0.9568,293.29
146,100.0,0.2,15.0,0.9566,447.77
147,100.0,0.2,2.0,0.9585,132.0
148,100.0,0.2,20.0,0.9544,747.88
149,100.0,0.2,3.0,0.963,78.85
150,100.0,0.2,4.0,0.961,104.71
151,100.0,0.2,5.0,0.9598,130.89
152,100.0,0.2,6.0,0.9625,159.82
153,100.0,0.2,7.0,0.9618,226.46
154,100.0,0.2,8.0,0.9625,259.61
155,100.0,0.2,9.0,0.9594,300.93
156,100.0,0.3,1.0,0.9496,59.77
157,100.0,0.3,10.0,0.946,306.31
158,100.0,0.3,15.0,0.9415,568.62
159,100.0,0.3,2.0,0.9474,129.8
160,100.0,0.3,20.0,0.941,1133.88
161,100.0,0.3,3.0,0.9542,197.64
162,100.0,0.3,4.0,0.9505,254.66
163,100.0,0.3,5.0,0.9499,299.38
164,100.0,0.3,6.0,0.9477,323.24
165,100.0,0.3,7.0,0.949,299.63
166,100.0,0.3,8.0,0.9414,236.34
167,100.0,0.3,9.0,0.946,281.55
168,100.0,0.4,1.0,0.936,31.38
169,100.0,0.4,10.0,0.9406,308.53
170,100.0,0.4,15.0,0.9435,498.72
171,100.0,0.4,2.0,0.9382,63.46
172,100.0,0.4,20.0,0.9363,623.09
173,100.0,0.4,3.0,0.9364,96.39
174,100.0,0.4,4.0,0.939,127.76
175,100.0,0.4,5.0,0.9409,184.31
176,100.0,0.4,6.0,0.9293,190.15
177,100.0,0.4,7.0,0.9429,218.57
178,100.0,0.4,8.0,0.9374,261.63
179,100.0,0.4,9.0,0.9428,274.97
180,100.0,0.5,1.0,0.9175,30.72
181,100.0,0.5,10.0,0.9356,298.91
182,100.0,0.5,15.0,0.9299,448.38
183,100.0,0.5,2.0,0.9319,63.47
184,100.0,0.5,20.0,0.9271,607.2
185,100.0,0.5,3.0,0.9273,95.14
186,100.0,0.5,4.0,0.9285,125.15
187,100.0,0.5,5.0,0.9362,159.04
188,100.0,0.5,6.0,0.934,187.62
189,100.0,0.5,7.0,0.9299,220.2
190,100.0,0.5,8.0,0.923,246.34
191,100.0,0.5,9.0,0.9311,274.9
192,100.0,0.6,1.0,0.9236,65.1
193,100.0,0.6,10.0,0.9277,315.52
194,100.0,0.6,15.0,0.9139,456.96
195,100.0,0.6,2.0,0.9045,140.12
196,100.0,0.6,20.0,0.921,629.43
197,100.0,0.6,3.0,0.9098,85.17
198,100.0,0.6,4.0,0.9041,111.64
199,100.0,0.6,5.0,0.9178,137.48
200,100.0,0.6,6.0,0.9204,167.27
201,100.0,0.6,7.0,0.9108,219.27
202,100.0,0.6,8.0,0.9021,255.92
203,100.0,0.6,9.0,0.8999,402.59
204,100.0,0.7,1.0,0.9056,81.04
205,100.0,0.7,10.0,0.9063,313.44
206,100.0,0.7,15.0,0.9228,468.99
207,100.0,0.7,2.0,0.892,159.05
