,angle,epochs,performance,training_time
0,10.0,10.0,0.9655,4308.17
1,10.0,13.0,0.9683,5794.66
2,10.0,15.0,0.9677,4933.18
3,10.0,5.0,0.9706,1698.5
4,10.0,7.0,0.9708,6361.15
5,12.0,10.0,0.9696,3994.71
6,12.0,13.0,0.9634,5544.12
7,12.0,15.0,0.9635,13447.64
8,12.0,5.0,0.9703,3867.56
9,12.0,7.0,0.9694,2470.89
10,15.0,10.0,0.965,3036.04
11,15.0,13.0,0.9657,12302.95
12,15.0,15.0,0.9596,6086.54
13,15.0,5.0,0.9714,2363.68
14,15.0,7.0,0.9672,2763.16
15,20.0,10.0,0.9587,6863.36
16,20.0,13.0,0.9618,5623.21
17,20.0,15.0,0.9594,6173.89
18,20.0,5.0,0.9644,1725.35
19,20.0,7.0,0.9631,1287.02
20,25.0,10.0,0.957,4133.76
21,25.0,13.0,0.9562,5755.04
22,25.0,15.0,0.9605,4987.15
23,25.0,5.0,0.9613,1683.05
24,25.0,7.0,0.9607,5834.13
25,3.0,10.0,0.9657,4098.42
26,3.0,13.0,0.9667,5594.41
27,3.0,15.0,0.9637,11640.03
28,3.0,5.0,0.9673,3978.7
29,3.0,7.0,0.9661,2411.09
30,5.0,10.0,0.9676,3506.11
31,5.0,13.0,0.9697,12163.61
32,5.0,15.0,0.9666,6412.24
33,5.0,5.0,0.9678,2266.52
34,5.0,7.0,0.9662,2930.0
35,7.0,10.0,0.9698,7084.49
36,7.0,13.0,0.9691,5417.95
37,7.0,15.0,0.9674,5997.12
38,7.0,5.0,0.9683,1870.16
39,7.0,7.0,0.9671,1162.42
